_id,INTERSECTION_ID,LINEAR_NAME_FULL_1,LINEAR_NAME_FULL_2,ID,X,Y,LONGITUDE,LATITUDE,OBJECTID,geometry
569,13468807.0,Lake Shore Blvd W,Windermere Ave,36,307370.153,4832805.865,-79.468147,43.635189000000004,36,"{u'type': u'Point', u'coordinates': (-79.4681469969, 43.6351890029)}"
570,13442867.0,Warden Ave,McNicoll Ave,37,319204.095,4851836.086,-79.320975,43.806349,37,"{u'type': u'Point', u'coordinates': (-79.3209749937, 43.8063490022)}"
571,13454197.0,Keele St,Wilson Ave,38,306244.619,4842965.49,-79.482069,43.726642,38,"{u'type': u'Point', u'coordinates': (-79.4820690045, 43.7266419991)}"
572,13464191.0,Lansdowne Ave,Dupont St,39,309117.692,4836310.235,-79.446461,43.666725,39,"{u'type': u'Point', u'coordinates': (-79.4464609943, 43.6667250003)}"
573,13468197.0,Queen St W,Lansdowne Ave,40,309883.69399999996,4833403.987,-79.43699000000001,43.64056,40,"{u'type': u'Point', u'coordinates': (-79.4369899987, 43.6405599996)}"
574,13467689.0,Burnhamthorpe Rd,The East Mall,41,299960.262,4834041.821,-79.55999200000001,43.646303,41,"{u'type': u'Point', u'coordinates': (-79.5599919959, 43.6463030043)}"
575,13451388.0,Keele St,Sheppard Ave W,42,305891.172,4844980.149,-79.486452,43.744777,42,"{u'type': u'Point', u'coordinates': (-79.4864519948, 43.7447770044)}"
576,13460183.0,Jane St,Bala Ave,43,304751.55100000004,4838910.351,-79.500601,43.690142,43,"{u'type': u'Point', u'coordinates': (-79.5006009971, 43.6901420046)}"
577,13451997.0,Jane St,Clair Rd,44,303697.729,4844587.204,-79.513685,43.741240000000005,44,"{u'type': u'Point', u'coordinates': (-79.5136850048, 43.7412400057)}"
578,,,,45,320318.396,4841407.02,-79.307427,43.712453000000004,45,"{u'type': u'Point', u'coordinates': (-79.3074270054, 43.7124530075)}"
579,13458312.0,Danforth Ave,Birchmount Rd,46,323822.908,4839698.53,-79.263999,43.696993,46,"{u'type': u'Point', u'coordinates': (-79.2639990061, 43.6969930098)}"
